id,name,description,long_description,bonus_volume,commission_percentage,distributor_only,certifiable,image_original_path,smarteru_module_id,is_required_class,position
1,Solar Item,,,1000,80,,,,,,
2,Fast Impact Training (FIT),"The “Fast Impact Training” (FIT) is a quick introduction to succeeding as a Powur advocate.  Learn the basics of Solar, and what rules you need to follow to prosper with Powur. This training is required before you can begin enrolling customers or new team mates in Powur.",,9900,,TRUE,TRUE,https://s3.amazonaws.com/sunstand-dev/seed_data/products/fit.jpg,8319,TRUE,1
3,Powur Energy-Consultant Certification,"The powur energy-consultant certification makes you an unparalleled leader in the direct selling energy space.  This proprietary certification gives you advanced insights into solar, the energy markets at large, how to sell,  how to build an effective sales organization, and the fastest way to reach your goals. Certification is required to earn commissions from the grid you build.","The Powur Energy-Consultant Certification gives you the knowledge, skills, and tools you need to succeed wildly in the solar revolution. As a certified Powur Consultant you'll have...<br /><ul><li>Access to insider solar industry training to boost the number of homeowners you refer.</li><li>State-of-the-art techniques to grow a team that gives you leveraged, ""royalty"" like income.</li><li>Detailed training to help you maximize the Powur compensation plan, making sure you get the most out of your referrals.</li><li>Plus crucial success tips you must know to capitalize on the enormous trends of solar energy, and turn your Powur business into an asset that pays income for decades as we shift from dirty to clean energy.</li></ul>Complete your Powur Energy-Consultant registration below to get certified.",14900,,TRUE,TRUE,https://s3.amazonaws.com/sunstand-dev/seed_data/products/certification.jpg,8342,FALSE,2
